user_id,timestamp,song,artist,session_id,duration
634,2025-06-28 17:42:00,Hey Jude,Nirvana,7453,3.52
951,2024-12-07 20:47:00,Smells Like Teen Spirit,Queen,8868,8.96
693,2025-10-05 22:46:00,Hotel California,Led Zeppelin,5973,2.95
47,2025-07-07 15:12:00,Smells Like Teen Spirit,Nirvana,4298,4.16
59,2024-11-17 05:20:00,Like a Prayer,Michael Jackson,2625,7.79
804,2025-06-21 23:53:00,Bohemian Rhapsody,U2,7593,9.94
317,2025-12-31 02:39:00,Like a Prayer,Pink Floyd,5606,3.35
714,2024-06-20 10:30:00,Like a Prayer,Led Zeppelin,8893,5.32
267,2024-12-25 15:37:00,Back in Black,The Beatles,9403,4.32
57,2024-10-12 18:07:00,Stairway to Heaven,Pink Floyd,4156,5.87
550,2024-07-25 10:22:00,Bohemian Rhapsody,Led Zeppelin,8172,4.2
650,2025-02-17 16:45:00,Bohemian Rhapsody,Nirvana,3105,6.12
671,2024-11-17 01:49:00,With or Without You,Eagles,4965,6.31
920,2024-03-10 06:06:00,Bohemian Rhapsody,The Beatles,4012,5.55
326,2025-10-24 21:57:00,Stairway to Heaven,Led Zeppelin,6325,9.85
767,2025-10-26 16:03:00,Smells Like Teen Spirit,Queen,6917,7.39
306,2025-11-02 21:46:00,Back in Black,Nirvana,6899,4.81
213,2024-04-25 17:33:00,Back in Black,The Beatles,4612,9.77
643,2024-03-25 20:32:00,Like a Prayer,Nirvana,5930,3.47
97,2025-06-07 17:28:00,Bohemian Rhapsody,AC/DC,2789,9.62
424,2025-09-02 03:29:00,Billie Jean,Pink Floyd,1254,9.78
368,2025-06-03 07:45:00,Comfortably Numb,Michael Jackson,7733,6.45
120,2024-03-19 07:44:00,Stairway to Heaven,Madonna,2409,8.22
882,2024-07-06 05:19:00,Comfortably Numb,Nirvana,5094,7.73
600,2025-10-14 18:43:00,Smells Like Teen Spirit,Queen,1425,6.36
693,2025-07-18 20:24:00,With or Without You,Michael Jackson,9119,3.48
381,2025-03-18 19:40:00,Like a Prayer,AC/DC,8053,7.5
261,2024-07-15 13:39:00,Like a Prayer,The Beatles,6121,3.82
191,2024-10-01 06:11:00,Stairway to Heaven,Eagles,1306,5.31
632,2025-01-05 18:42:00,Billie Jean,Queen,2771,8.26
825,2024-04-12 10:51:00,Comfortably Numb,Eagles,9800,8.71
484,2025-04-02 06:42:00,With or Without You,Pink Floyd,7412,6.78
15,2025-02-25 06:20:00,Comfortably Numb,Madonna,8486,8.65
670,2025-03-06 10:05:00,Stairway to Heaven,Madonna,5135,4.44
165,2024-01-10 21:26:00,Hotel California,The Beatles,4322,5.75
590,2024-02-12 18:01:00,Stairway to Heaven,U2,5809,3.44
33,2025-07-28 18:15:00,With or Without You,Queen,3370,5.42
500,2024-04-11 22:51:00,Bohemian Rhapsody,AC/DC,5563,5.61
990,2025-09-08 20:46:00,Bohemian Rhapsody,Madonna,1275,8.44
430,2025-12-21 02:09:00,Smells Like Teen Spirit,The Beatles,9316,9.45
332,2025-06-15 16:32:00,Hey Jude,Led Zeppelin,3618,7.12
909,2024-02-20 00:21:00,With or Without You,Michael Jackson,9211,9.0
882,2025-08-07 23:23:00,Bohemian Rhapsody,Madonna,1187,5.08
260,2024-06-07 18:47:00,Like a Prayer,Pink Floyd,1292,8.78
563,2025-03-15 18:51:00,Bohemian Rhapsody,The Beatles,6193,4.79
228,2024-07-31 01:00:00,Hey Jude,Pink Floyd,8699,7.18
194,2025-09-02 13:28:00,Bohemian Rhapsody,Michael Jackson,4139,9.98
978,2025-03-01 04:57:00,Comfortably Numb,Eagles,6115,2.63
884,2025-03-07 17:56:00,Comfortably Numb,The Beatles,6627,9.78
54,2025-08-25 13:03:00,Smells Like Teen Spirit,Madonna,7059,3.52
827,2024-05-16 03:47:00,Hey Jude,Madonna,7247,9.52
581,2025-04-23 06:03:00,Billie Jean,The Beatles,2464,5.4
574,2024-09-09 02:42:00,Billie Jean,Michael Jackson,2139,2.81
374,2025-11-02 15:37:00,Back in Black,Led Zeppelin,6162,4.11
402,2024-05-30 18:25:00,Smells Like Teen Spirit,Nirvana,6471,4.42
366,2025-10-21 08:57:00,Like a Prayer,The Beatles,6710,9.84
143,2024-11-21 18:08:00,Hey Jude,Queen,4115,4.59
618,2024-07-23 20:03:00,Hey Jude,Madonna,6163,4.09
623,2024-03-24 05:51:00,Hey Jude,Led Zeppelin,4361,4.46
754,2024-11-20 04:08:00,Back in Black,U2,8829,7.83
657,2024-07-21 06:56:00,Comfortably Numb,Queen,2766,9.03
805,2024-04-29 13:04:00,Smells Like Teen Spirit,The Beatles,3226,5.94
